Country	Region	Population	Area (sq. mi.)	Pop. Density (per sq. mi.)	Coastline (coast/area ratio)	Net migration	Infant mortality (per 1000 births)	GDP ($ per capita)	Literacy (%)	Phones (per 1000)	Arable (%)	Crops (%)	Other (%)	Climate	Birthrate	Deathrate	Agriculture	Industry	Service
Afghanistan 	ASIA (EX. NEAR EAST)         	31056997	647500	480	0	2306	16307	700	360	32	1213	22	8765	1	466	2034	38	24	38
Albania 	EASTERN EUROPE                     	3581655	28748	1246	126	-493	2152	4500	865	712	2109	442	7449	3	1511	522	232	188	579
Algeria 	NORTHERN AFRICA                    	32930091	2381740	138	4	-39	31	6000	700	781	322	25	9653	1	1714	461	101	6	298
American Samoa 	OCEANIA                            	57794	199	2904	5829	-2071	927	8000	970	2595	10	15	75	2	2246	327			
Andorra 	WESTERN EUROPE                     	71201	468	1521	0	66	405	19000	1000	4972	222	0	9778	3	871	625			
Angola 	SUB-SAHARAN AFRICA                 	12127071	1246700	97	13	0	19119	1900	420	78	241	24	9735		4511	242	96	658	246
Anguilla 	LATIN AMER. & CARIB    	13477	102	1321	5980	1076	2103	8600	950	4600	0	0	100	2	1417	534	4	18	78
Antigua & Barbuda 	LATIN AMER. & CARIB    	69108	443	1560	3454	-615	1946	11000	890	5499	1818	455	7727	2	1693	537	38	22	743
Argentina 	LATIN AMER. & CARIB    	39921833	2766890	144	18	61	1518	11200	971	2204	1231	48	8721	3	1673	755	95	358	547
Armenia 	C.W. OF IND. STATES 	2976372	29800	999	0	-647	2328	3500	986	1957	1755	23	8015	4	1207	823	239	343	418
Aruba 	LATIN AMER. & CARIB    	71891	193	3725	3549	0	589	28000	970	5161	1053	0	8947	2	1103	668	4	333	663
Australia 	OCEANIA                            	20264082	7686850	26	34	398	469	29000	1000	5655	655	4	9341	1	1214	751	38	262	7
Austria 	WESTERN EUROPE                     	8192880	83870	977	0	2	466	30000	980	4522	1691	86	8223	3	874	976	18	304	678
Azerbaijan 	C.W. OF IND. STATES 	7961619	86600	919	0	-49	8174	3400	970	1371	1963	271	7766	1	2074	975	141	457	402
"Bahamas, The "	LATIN AMER. & CARIB    	303770	13940	218	2541	-22	2521	16700	956	4606	8	4	988	2	1757	905	3	7	9
Bahrain 	NEAR EAST                          	698585	665	10505	2421	105	1727	16900	891	2813	282	563	9155	1	178	414	5	387	608
Bangladesh 	ASIA (EX. NEAR EAST)         	147365352	144000	10234	40	-71	626	1900	431	73	6211	307	3482	2	298	827	199	198	603
Barbados 	LATIN AMER. & CARIB    	279912	431	6495	2251	-31	125	15700	974	4819	3721	233	6046	2	1271	867	6	16	78
Belarus 	C.W. OF IND. STATES 	10293011	207600	496	0	254	1337	6100	996	3191	2955	6	6985	4	1116	1402	93	316	591
Belgium 	WESTERN EUROPE                     	10379067	30528	3400	22	123	468	29100	980	4626	2328	4	7632	3	1038	1027	1	24	749
Belize 	LATIN AMER. & CARIB    	287730	22966	125	168	0	2569	4900	941	1157	285	171	9544	2	2884	572	142	152	612
Benin 	SUB-SAHARAN AFRICA                 	7862944	112620	698	11	0	85	1100	409	97	1808	24	7952	2	3885	1222	316	138	546
Bermuda 	NORTHERN AMERICA                   	65773	53	12410	19434	249	853	36000	980	8514	20	0	80	2	114	774	1	1	89
Bhutan 	ASIA (EX. NEAR EAST)         	2279723	47000	485	0	0	10044	1300	422	143	309	43	9648	2	3365	127	258	379	363
Bolivia 	LATIN AMER. & CARIB    	8989046	1098580	82	0	-132	5311	2400	872	719	267	19	9714	15	233	753	128	352	52
Bosnia & Herzegovina 	EASTERN EUROPE                     	4498976	51129	880	4	31	2105	6100		2154	136	296	8344	4	877	827	142	308	55
Botswana 	SUB-SAHARAN AFRICA                 	1639833	600370	27	0	0	5458	9000	798	805	65	1	9934	1	2308	295	24	469	507
Brazil 	LATIN AMER. & CARIB    	188078227	8511965	221	9	-3	2961	7600	864	2253	696	9	9215	2	1656	617	84	4	516
British Virgin Is. 	LATIN AMER. & CARIB    	23098	153	1510	5229	1001	1805	16000	978	5065	20	667	7333	2	1489	442	18	62	92
Brunei 	ASIA (EX. NEAR EAST)         	379444	5770	658	279	359	1261	18600	939	2372	57	76	9867	2	1879	345	36	561	403
Bulgaria 	EASTERN EUROPE                     	7385367	110910	666	32	-458	2055	7600	986	3363	4002	192	5806	3	965	1427	93	304	603
Burkina Faso 	SUB-SAHARAN AFRICA                 	13902972	274200	507	0	0	9757	1100	266	70	1443	19	8538	2	4562	156	322	196	482
Burma 	ASIA (EX. NEAR EAST)         	47382633	678500	698	28	-18	6724	1800	853	101	1519	97	8384	2	1791	983	564	82	353
Burundi 	SUB-SAHARAN AFRICA                 	8090068	27830	2907	0	-6	6929	600	516	34	3505	1402	5093	2	4222	1346	463	203	334
Cambodia 	ASIA (EX. NEAR EAST)         	13881427	181040	767	24	0	7148	1900	694	26	2096	61	7843	2	269	906	35	3	35
Cameroon 	SUB-SAHARAN AFRICA                 	17340702	475440	365	8	0	6826	1800	790	57	1281	258	8461	15	3389	1347	448	17	382
Canada 	NORTHERN AMERICA                   	33098932	9984670	33	202	596	475	29800	970	5522	496	2	9502		1078	78	22	294	684
Cape Verde 	SUB-SAHARAN AFRICA                 	420979	4033	1044	2393	-1207	4777	1400	766	1696	968	5	8982	3	2487	655	121	219	66
Cayman Islands 	LATIN AMER. & CARIB    	45436	262	1734	6107	1875	819	35000	980	8363	385	0	9615	2	1274	489	14	32	954
Central African Rep. 	SUB-SAHARAN AFRICA                 	4303356	622984	69	0	0	91	1100	510	23	31	14	9676	2	3391	1865	55	2	25
Chad 	SUB-SAHARAN AFRICA                 	9944201	1284000	77	0	-11	9382	1200	475	13	286	2	9712	2	4573	1638	335	259	406
Chile 	LATIN AMER. & CARIB    	16134219	756950	213	85	0	88	9900	962	2130	265	42	9693	3	1523	581	6	493	447
China 	ASIA (EX. NEAR EAST)         	1313973713	9596960	1369	15	-4	2418	5000	909	2667	154	125	8335	15	1325	697	125	473	403
Colombia 	LATIN AMER. & CARIB    	43593035	1138910	383	28	-31	2097	6300	925	1762	242	167	9591	2	2048	558	125	342	533
Comoros 	SUB-SAHARAN AFRICA                 	690948	2170	3184	1567	0	7493	700	565	245	3587	2332	4081	2	3693	82	4	4	56
"Congo, Dem. Rep. "	SUB-SAHARAN AFRICA                 	62660551	2345410	267	0	0	9469	700	655	2	296	52	9652	2	4369	1327	55	11	34
"Congo, Repub. of the "	SUB-SAHARAN AFRICA                 	3702314	342000	108	5	-17	9386	700	838	37	51	13	9936	2	4257	1293	62	57	369
Cook Islands 	OCEANIA                            	21388	240	891	5000			5000	950	2899	1739	1304	6957	2	21		151	96	753
Costa Rica 	LATIN AMER. & CARIB    	4075261	51100	798	252	51	995	9100	960	3407	441	588	8971	2	1832	436	88	299	614
Cote d'Ivoire 	SUB-SAHARAN AFRICA                 	17654843	322460	548	16	-7	9083	1400	509	146	975	1384	7641	2	3511	1484	279	171	55
Croatia 	EASTERN EUROPE                     	4494749	56542	795	1032	158	684	10600	985	4204	2609	227	7165		961	1148	7	308	622
Cuba 	LATIN AMER. & CARIB    	11382820	110860	1027	337	-158	633	2900	970	747	3305	76	5935	2	1189	722	55	261	684
Cyprus 	NEAR EAST                          	784301	9250	848	701	43	718	19200	976		779	444	8777	3	1256	768	37	198	765
Czech Republic 	EASTERN EUROPE                     	10235455	78866	1298	0	97	393	15700	999	3143	398	305	5715	3	902	1059	34	393	573
Denmark 	WESTERN EUROPE                     	5450661	43094	1265	1697	248	456	31100	1000	6146	5402	19	4579	3	1113	1036	18	246	735
Djibouti 	SUB-SAHARAN AFRICA                 	486530	23000	212	137	0	10413	1300	679	228	4	0	9996	1	3953	1931	179	225	596
Dominica 	LATIN AMER. & CARIB    	68910	754	914	1963	-1387	1415	5400	940	3048	667	20	7333	2	1527	673	177	328	495
Dominican Republic 	LATIN AMER. & CARIB    	9183984	48730	1885	264	-322	3238	6000	847	974	2265	1033	6702	2	2322	573	112	306	582
East Timor 	ASIA (EX. NEAR EAST)         	1062777	15007	708	470	0	4741	500	586		471	67	9462	2	2699	624	85	231	684
Ecuador 	LATIN AMER. & CARIB    	13547510	283560	478	79	-858	2366	3300	925	1256	585	493	8922	2	2229	423	7	312	618
Egypt 	NORTHERN AFRICA                    	78887007	1001450	788	24	-22	3259	4000	577	1318	287	48	9665	1	2294	523	149	357	493
El Salvador 	LATIN AMER. & CARIB    	6822378	21040	3243	146	-374	251	4800	802	1424	3185	1207	5608	2	2661	578	99	302	599
Equatorial Guinea 	SUB-SAHARAN AFRICA                 	540109	28051	193	106	0	8513	2700	857	185	463	357	918	2	3559	1506	3	906	62
Eritrea 	SUB-SAHARAN AFRICA                 	4786994	121320	395	184	0	7487	700	586	79	495	3	9502	15	3433	96	102	254	643
Estonia 	BALTICS                            	1324333	45226	293	839	-316	787	12300	998	3338	1604	45	8351	3	1004	1325	4	294	666
Ethiopia 	SUB-SAHARAN AFRICA                 	74777981	1127127	663	0	0	9532	700	427	82	1071	75	8854	2	3798	1486	475	99	426
Faroe Islands 	WESTERN EUROPE                     	47246	1399	338	7984	141	624	22000		5038	214	0	9786		1405	87	27	11	62
Fiji 	OCEANIA                            	905949	18270	496	618	-314	1262	5800	937	1126	1095	465	844	2	2255	565	89	135	776
Finland 	WESTERN EUROPE                     	5231372	338145	155	37	95	357	27400	1000	4053	719	3	9278	3	1045	986	28	295	676
France 	WESTERN EUROPE                     	60876136	547030	1113	63	66	426	27600	990	5864	3353	207	644	4	1199	914	22	214	764
French Guiana 	LATIN AMER. & CARIB    	199509	91000	22	42	627	1207	8300	830	2556	14	5	9981	2	2046	488	66	156	778
French Polynesia 	OCEANIA                            	274578	4167	659	6060	294	844	17500	980	1945	82	546	9372	2	1668	469	31	19	769
Gabon 	SUB-SAHARAN AFRICA                 	1424906	267667	53	33	0	5364	5500	632	274	126	66	9808	2	3616	1225	61	592	348
"Gambia, The "	SUB-SAHARAN AFRICA                 	1641564	11300	1453	71	157	7202	1700	401	268	25	5	745	2	3937	1225	308	142	549
Gaza Strip 	NEAR EAST                          	1428757	360	39688	1111	16	2293	600		2443	2895	2105	50	3	3945	38	3	283	687
Georgia 	C.W. OF IND. STATES 	4661473	69700	669	44	-47	1859	2500	990	1466	1144	386	847	3	1041	923	172	275	553
Germany 	WESTERN EUROPE                     	82422299	357021	2309	67	218	416	27600	990	6679	3385	59	6556	3	825	1062	9	296	695
Ghana 	SUB-SAHARAN AFRICA                 	22409572	239460	936	23	-64	5143	2200	748	144	1626	967	7407	2	3052	972	366	246	387
Gibraltar 	WESTERN EUROPE                     	27928	7	39897	17143	0	513	17500		8777	0	0	100		1074	931			
Greece 	WESTERN EUROPE                     	10688058	131940	810	1037	235	553	20000	975	5897	211	878	7012	3	968	1024	54	213	733
Greenland 	NORTHERN AMERICA                   	56361	2166086	0	204	-837	1582	20000		4489	0	0	100	1	1593	784			
Grenada 	LATIN AMER. & CARIB    	89703	344	2608	3517	-1392	1462	5000	980	3645	588	2941	6471	2	2208	688	54	18	766
Guadeloupe 	LATIN AMER. & CARIB    	452776	1780	2544	1719	-15	86	8000	900	4638	1124	355	8521	2	1505	609	15	17	68
Guam 	OCEANIA                            	171019	541	3161	2320	0	694	21000	990	4920	909	1636	7455	2	1879	448			
Guatemala 	LATIN AMER. & CARIB    	12293545	108890	1129	37	-167	3593	4100	706	921	1254	503	8243	2	2988	52	227	188	585
Guernsey 	WESTERN EUROPE                     	65409	78	8386	6410	384	471	20000		8424				3	881	1001	3	1	87
Guinea 	SUB-SAHARAN AFRICA                 	9690222	245857	394	13	-306	9037	2100	359	27	363	258	9379	2	4176	1548	237	362	401
Guinea-Bissau 	SUB-SAHARAN AFRICA                 	1442029	36120	399	97	-157	10717	800	424	74	1067	882	8051	2	3722	1653	62	12	26
Guyana 	LATIN AMER. & CARIB    	767245	214970	36	21	-207	3326	4000	988	1435	244	15	9741	2	1828	828	37	203	427
Haiti 	LATIN AMER. & CARIB    	8308504	27750	2994	638	-34	7345	1600	529	169	283	1161	6009	2	3644	1217	28	2	52
Honduras 	LATIN AMER. & CARIB    	7326496	112090	654	73	-199	2932	2600	762	675	955	322	8723	2	2824	528	139	312	549
Hong Kong 	ASIA (EX. NEAR EAST)         	6940432	1092	63557	6712	524	297	28800	935	5467	505	101	9394	2	729	629	1	92	906
Hungary 	EASTERN EUROPE                     	9981334	93030	1073	0	86	857	13900	994	3362	5009	206	4785	3	972	1311	37	312	651
Iceland 	WESTERN EUROPE                     	299388	103000	29	483	238	331	30900	999	6477	7	0	9993	3	1364	672	86	15	765
India 	ASIA (EX. NEAR EAST)         	1095351995	3287590	3332	21	-7	5629	2900	595	454	544	274	4286	25	2201	818	186	276	538
Indonesia 	ASIA (EX. NEAR EAST)         	245452739	1919440	1279	285	0	356	3200	879	520	1132	723	8145	2	2034	625	134	458	408
Iran 	ASIA (EX. NEAR EAST)         	68688433	1648000	417	15	-84	4158	7000	794	2764	872	139	8989	1	17	555	116	424	46
Iraq 	NEAR EAST                          	26783383	437072	613	1	0	5025	1500	404	386	1315	78	8607	1	3198	537	73	666	261
Ireland 	WESTERN EUROPE                     	4062235	70280	578	206	499	539	29600	980	5005	152	3	8477	3	1445	782	5	46	49
Isle of Man 	WESTERN EUROPE                     	75441	572	1319	2797	536	593	21000		6760	9	0	91	3	1105	1119	1	13	86
Israel 	NEAR EAST                          	6352117	20770	3058	131	68	703	19800	954	4623	1639	417	7944	3	1797	618	26	317	657
Italy 	WESTERN EUROPE                     	58133509	301230	1930	252	207	594	26700	986	4309	2779	953	6268		872	104	21	291	688
Jamaica 	LATIN AMER. & CARIB    	2758124	10991	2509	930	-492	1236	3900	879	1240	1607	1016	7377	2	2082	652	49	337	615
Japan 	ASIA (EX. NEAR EAST)         	127463611	377835	3374	787	0	326	28200	990	4612	1219	96	8685	3	937	916	17	258	725
Jersey 	WESTERN EUROPE                     	91084	116	7852	6034	276	524	24800		8113	0	0	100	3	93	928	5	2	93
Jordan 	NEAR EAST                          	5906760	92300	640	3	659	1735	4300	913	1045	267	183	955	1	2125	265	33	287	68
Kazakhstan 	C.W. OF IND. STATES 	15233244	2717300	56	0	-335	2921	6300	984	1641	798	5	9197	4	16	942	67	386	547
Kenya 	SUB-SAHARAN AFRICA                 	34707817	582650	596	9	-1	6147	1000	851	81	808	98	9094	15	3972	1402	163	188	651
Kiribati 	OCEANIA                            	105432	811	1300	14094	0	4852	800		427	274	5068	4658	2	3065	826	89	242	668
"Korea, North "	ASIA (EX. NEAR EAST)         	23113019	120540	1918	207	0	2404	1300	990	424	2076	249	7675	3	1554	713	3	34	36
"Korea, South "	ASIA (EX. NEAR EAST)         	48846823	98480	4960	245	0	705	17800	979	4861	1718	195	8087	3	10	585	33	403	563
Kuwait 	NEAR EAST                          	2418393	17820	1357	280	1418	995	19000	835	2110	73	11	9916	1	2194	241	4	479	516
Kyrgyzstan 	C.W. OF IND. STATES 	5213898	198500	263	0	-245	3564	1600	970	840	73	35	9235	25	228	708	353	208	439
Laos 	ASIA (EX. NEAR EAST)         	6368481	236800	269	0	0	8522	1700	664	141	38	35	9585	2	3549	1155	455	287	258
Latvia 	BALTICS                            	2274735	64589	352	82	-223	955	10200	998	3214	2967	47	6986	3	924	1366	4	261	699
Lebanon 	NEAR EAST                          	3874050	10400	3725	216	0	2452	4800	874	2556	1662	1398	694		1852	621	12	21	67
Lesotho 	SUB-SAHARAN AFRICA                 	2022331	30355	666	0	-74	8423	3000	848	237	1087	13	89	3	2475	2871	163	443	394
Liberia 	SUB-SAHARAN AFRICA                 	3042004	111370	273	52	0	12887	1000	575	23	395	228	9377	2	4477	231	769	54	177
Libya 	NORTHERN AFRICA                    	5900754	1759540	34	10	0	246	6400	826	1271	103	19	9878		2649	348	76	499	425
Liechtenstein 	WESTERN EUROPE                     	33987	160	2124	0	485	47	25000	1000	5855	25	0	75	4	1021	718	6	39	55
Lithuania 	BALTICS                            	3585906	65200	550	14	-71	689	11400	996	2234	4522	91	5387		875	1098	55	325	62
Luxembourg 	WESTERN EUROPE                     	474413	2586	1835	0	897	481	55100	1000	5154	2328	4	7632		1194	841	1	13	86
Macau 	ASIA (EX. NEAR EAST)         	453125	28	161830	14643	486	439	19400	945	3849	0	0	100	2	848	447	1	72	927
Macedonia 	EASTERN EUROPE                     	2050554	25333	809	0	-145	1009	6700		2600	2226	181	7593	3	1202	877	118	319	563
Madagascar 	SUB-SAHARAN AFRICA                 	18595469	587040	317	82	0	7683	800	689	36	507	103	9391	2	4141	1111	276	165	559
Malawi 	SUB-SAHARAN AFRICA                 	13013926	118480	1098	0	0	10332	600	627	79	2338	149	7513	2	4313	1933	342	158	499
Malaysia 	ASIA (EX. NEAR EAST)         	24385858	329750	740	142	0	177	9000	887	1790	548	1761	7691	2	2286	505	84	48	436
Maldives 	ASIA (EX. NEAR EAST)         	359008	300	11967	21467	0	5652	3900	972	900	1333	1667	70	2	3481	706	2	18	62
Mali 	SUB-SAHARAN AFRICA                 	11716829	1240000	95	0	-33	11679	900	464	64	382	3	9615	2	4982	1689	45	17	38
Malta 	WESTERN EUROPE                     	400214	316	12665	6228	207	389	17700	928	5050	2813	313	6874		1022	81	3	23	74
Marshall Islands 	OCEANIA                            	60422	11854	51	312	-604	2945	1600	937	912	1667	3889	4444	2	3305	478	317	149	534
Martinique 	LATIN AMER. & CARIB    	436131	1100	3965	3182	-5	709	14400	977	3944	1038	943	8019	2	1374	648	6	11	83
Mauritania 	SUB-SAHARAN AFRICA                 	3177388	1030700	31	7	0	7089	1800	417	129	48	1	9951	1	4099	1216	25	29	46
Mauritius 	SUB-SAHARAN AFRICA                 	1240827	2040	6083	868	-9	1503	11400	856	2893	4926	296	4778	2	1543	686	59	298	643
Mayotte 	SUB-SAHARAN AFRICA                 	201234	374	5381	4952	678	624	2600		497				2	4095	77			
Mexico 	LATIN AMER. & CARIB    	107449525	1972550	545	47	-487	2091	9000	922	1816	1299	131	857	15	2069	474	38	259	702
"Micronesia, Fed. St. "	OCEANIA                            	108004	702	1539	87066	-2099	3021	2000	890	1148	571	4571	4858	2	2468	475	289	152	559
Moldova 	C.W. OF IND. STATES 	4466706	33843	1320	0	-26	4042	1800	991	2081	553	1079	3391		157	1264	213	233	555
